"origin_fips","dest_fips","num_migrants","m_i","m_j"
19,33,78,3050745,1316762
20,33,93,2858190,1316762
35,33,78,2064552,1316762
40,33,99,3759944,1316762
56,33,61,564487,1316762
16,33,60,1570746,1316762
54,33,59,1854239,1316762
31,33,53,1829542,1316762
28,33,40,2970548,1316762
5,33,37,2921964,1316762
46,33,36,816166,1316762
38,33,26,674715,1316762
36,34,44551,19399878,8799446
42,34,19356,12711160,8799446
12,34,11737,18845537,8799446
6,34,6447,37319502,8799446
51,34,4089,8023699,8799446
37,34,4125,9574323,8799446
48,34,4079,25241971,8799446
25,34,3506,6566307,8799446
13,34,3586,9711881,8799446
24,34,3233,5788645,8799446
9,34,2873,3579114,8799446
17,34,2685,12840503,8799446
39,34,1967,11539336,8799446
10,34,1751,899593,8799446
45,34,1448,4635649,8799446
26,34,1441,9877510,8799446
4,34,1326,6407172,8799446
8,34,918,5047349,8799446
53,34,1007,6742830,8799446
47,34,1010,6355311,8799446
18,34,874,6490432,8799446
32,34,790,2702405,8799446
29,34,770,5995974,8799446
44,34,646,1053959,8799446
27,34,621,5310828,8799446
55,34,630,5690475,8799446
11,34,419,605226,8799446
22,34,494,4544532,8799446
1,34,558,4785437,8799446
21,34,477,4348181,8799446
33,34,440,1316762,8799446
15,34,412,1363963,8799446
20,34,403,2858190,8799446
23,34,357,1327629,8799446
41,34,381,3837491,8799446
19,34,324,3050745,8799446
40,34,353,3759944,8799446
50,34,251,625879,8799446
49,34,330,2775332,8799446
54,34,265,1854239,8799446
5,34,315,2921964,8799446
35,34,242,2064552,8799446
28,34,228,2970548,8799446
2,34,206,713910,8799446
31,34,165,1829542,8799446
16,34,144,1570746,8799446
30,34,124,990697,8799446
56,34,73,564487,8799446
46,34,81,816166,8799446
38,34,60,674715,8799446
48,35,11244,25241971,2064552
4,35,9499,6407172,2064552
6,35,5215,37319502,2064552
8,35,4270,5047349,2064552
12,35,1931,18845537,2064552
32,35,1669,2702405,2064552
53,35,1274,6742830,2064552
36,35,925,19399878,2064552
40,35,1157,3759944,2064552
51,35,1179,8023699,2064552
17,35,980,12840503,2064552
49,35,1184,2775332,2064552
39,35,827,11539336,2064552
37,35,811,9574323,2064552
13,35,850,9711881,2064552
26,35,695,9877510,2064552
29,35,743,5995974,2064552
41,35,664,3837491,2064552
42,35,641,12711160,2064552
20,35,732,2858190,2064552
24,35,515,5788645,2064552
47,35,532,6355311,2064552
2,35,594,713910,2064552
18,35,494,6490432,2064552
27,35,434,5310828,2064552
55,35,439,5690475,2064552
25,35,387,6566307,2064552
16,35,503,1570746,2064552
5,35,479,2921964,2064552
22,35,385,4544532,2064552
