11 000 24 000 MD MARYLAND                              8337      15005      450844
11 000 51 000 VA VIRGINIA                              4479       6488      329779
11 000 36 000 NY NEW YORK                              1770       2106      106478
11 000 06 000 CA CALIFORNIA                            1413       1788       99691
11 000 57 000 FR Foreign                                754       1212       49539
11 000 12 000 FL FLORIDA                                703        908       48627
11 000 25 000 MA MASSACHUSETTS                          635        781       40591
11 000 42 000 PA PENNSYLVANIA                           626        790       31647
11 000 48 000 TX TEXAS                                  577        809       40246
11 000 37 000 NC NORTH CAROLINA                         555        814       28054
11 000 17 000 IL ILLINOIS                               512        612       30422
11 000 13 000 GA GEORGIA                                380        554       19287
11 000 34 000 NJ NEW JERSEY                             321        419       16680
11 000 26 000 MI MICHIGAN                               255        329       12487
11 000 39 000 OH OHIO                                   244        322       12640
11 000 53 000 WA WASHINGTON                             242        321       16895
11 000 08 000 CO COLORADO                               237        332       15255
11 000 28 000 MS MISSISSIPPI                            206        251        6945
11 000 09 000 CT CONNECTICUT                            178        231       10160
11 000 04 000 AZ ARIZONA                                151        228        9033
11 000 47 000 TN TENNESSEE                              149        185        8326
11 000 45 000 SC SOUTH CAROLINA                         144        210        6539
11 000 27 000 MN MINNESOTA                              143        189        9562
11 000 22 000 LA LOUISIANA                              140        201        7420
11 000 41 000 OR OREGON                                 125        167        7121
11 000 29 000 MO MISSOURI                               120        176       12363
11 000 55 000 WI WISCONSIN                               96        119        5838
11 000 18 000 IN INDIANA                                 91        113        4078
11 000 21 000 KY KENTUCKY                                87        143        4785
11 000 10 000 DE DELAWARE                                75        120        5922
11 000 54 000 WV WEST VIRGINIA                           64         81        3393
11 000 33 000 NH NEW HAMPSHIRE                           61         86        4694
11 000 15 000 HI HAWAII                                  60         80        4454
11 000 35 000 NM NEW MEXICO                              60         93        4464
11 000 50 000 VT VERMONT                                 60         71        3374
11 000 01 000 AL ALABAMA                                 58         79        3484
11 000 44 000 RI RHODE ISLAND                            53         67        2834
11 000 23 000 ME MAINE                                   52         67        3353
11 000 32 000 NV NEVADA                                  45         63        2653
11 000 20 000 KS KANSAS                                  42         65        1727
11 000 49 000 UT UTAH                                    42         64        2083
11 000 40 000 OK OKLAHOMA                                36         55        2191
11 000 19 000 IA IOWA                                    35         46        1562
11 000 31 000 NE NEBRASKA                                35         55        1893
11 000 02 000 AK ALASKA                                  30         39        1878
11 000 05 000 AR ARKANSAS                                28         39        1516
11 000 56 000 WY WYOMING                                 27         43        1500
11 000 30 000 MT MONTANA                                 21         23         963
11 000 46 000 SD SOUTH DAKOTA                            17         19         655
11 000 16 000 ID IDAHO                                   13         19         617
11 000 38 000 ND NORTH DAKOTA                            10         21         363
12 000 96 000 FL FL Total Mig - US & For             211335     379568     8413126
12 000 97 000 FL FL Total Mig - US                   202928     364715     8094269
12 000 98 000 FL FL Total Mig - Foreign                8407      14853      318856
12 000 12 000 FL FL Non-Migrants                    6850795   13822107   343925520
12 000 13 000 GA GEORGIA                              19709      36699      731121
12 000 36 000 NY NEW YORK                             17786      29124      584060
12 000 48 000 TX TEXAS                                15581      29726      656112
12 000 37 000 NC NORTH CAROLINA                       11837      22640      484507
12 000 06 000 CA CALIFORNIA                           11223      19091      526603
12 000 51 000 VA VIRGINIA                              9466      17859      459273
12 000 57 000 FR Foreign                               8407      14853      318856
12 000 42 000 PA PENNSYLVANIA                          7411      12940      291171
12 000 47 000 TN TENNESSEE                             7280      13876      298926
12 000 39 000 OH OHIO                                  6811      11970      254739
